txId,hub_type,hub_in_degree,hub_out_degree,anomalousness_score,z_in,z_out,subgraph_has_illicit,subgraph_all_unknown,timestep
43388675,fanin,284,0,1.0,72.31937481365512,-0.6069984913878699,False,False,10
68705820,fanin,247,0,0.9325868913185273,62.8591739057382,-0.6069984913878699,False,False,10
30699343,fanin,241,0,0.9211902894059264,61.325087272021946,-0.6069984913878699,False,False,37
96576418,fanin,239,0,0.9173599597620598,60.81372506078319,-0.6069984913878699,False,False,7
225859042,fanin,212,0,0.8639900886233802,53.910335209060044,-0.6069984913878699,False,False,5
279187194,fanin,211,0,0.8619499675032614,53.65465410344066,-0.6069984913878699,False,False,4
234890810,fanin,199,0,0.8370807758825384,50.58648083600815,-0.6069984913878699,False,False,11
196107869,fanin,188,0,0.813616513466827,47.77398867419502,-0.6069984913878699,False,False,46
43397277,fanin,182,0,0.8005279947775313,46.23990204047876,-0.6069984913878699,False,False,10
68706499,fanin,178,0,0.7916821100544597,45.21717761800125,-0.6069984913878699,False,False,10
30179316,fanin,177,0,0.7894551517468983,44.96149651238188,-0.6069984913878699,True,False,37
269905668,fanin,173,0,0.7804837791892056,43.938772089904376,-0.6069984913878699,True,False,25
225711361,fanin,167,0,0.7668299479115852,42.40468545618812,-0.6069984913878699,False,False,5
96365231,fanin,166,0,0.7645306025618078,42.149004350568745,-0.6069984913878699,True,False,33
232438397,fanin,160,1,0.7505866250408014,40.61491771685249,-0.07922022511825813,True,False,1
99675435,fanin,158,0,0.7458807063927944,40.103555505613734,-0.6069984913878699,True,False,21
355110272,fanin,153,0,0.7339839196918398,38.82514997751685,-0.6069984913878699,True,False,32
157929208,fanin,152,0,0.7315813472236932,38.56946887189748,-0.6069984913878699,True,False,49
90716926,fanin,150,0,0.7267523746672638,38.05810666065872,-0.6069984913878699,False,False,4
149158766,fanin,148,0,0.721891100210676,37.546744449419975,-0.6069984913878699,True,False,39
2881273,fanin,143,0,0.7095922256906169,36.26833892132309,-0.6069984913878699,False,False,1
355174807,fanin,142,1,0.7071067811865476,36.01265781570372,-0.07922022511825813,True,False,32
372745794,fanin,139,0,0.6995974697769496,35.24561449884559,-0.6069984913878699,True,False,22
230658142,fanin,134,0,0.6868995457237491,33.96720897074871,-0.6069984913878699,False,False,1
70245040,fanin,133,1,0.6843316879663907,33.711527865129334,-0.07922022511825813,False,False,36
94621528,fanin,132,0,0.6817541583256872,33.45584675950995,-0.6069984913878699,False,False,7
30276715,fanin,129,0,0.6739624263359761,32.688803442651825,-0.6069984913878699,False,False,37
149691712,fanin,128,1,0.6713450866373512,32.43312233703245,-0.07922022511825813,True,False,39
339175100,fanin,127,0,0.6687175028302679,32.17744123141308,-0.6069984913878699,False,False,13
347550863,fanin,126,0,0.6660795536803287,31.9217601257937,-0.6069984913878699,False,False,12
209837677,fanin,124,0,0.6607720622952057,31.41039791455495,-0.6069984913878699,False,False,20
116898498,fanin,124,0,0.6607720622952057,31.41039791455495,-0.6069984913878699,True,False,38
22837784,fanin,122,0,0.6554215931663622,30.899035703316194,-0.6069984913878699,False,False,4
2268197,fanin,121,0,0.6527299120066193,30.64335459769682,-0.6069984913878699,False,False,48
30151745,fanin,120,1,0.6500270850261592,30.387673492077443,-0.07922022511825813,True,False,37
106320422,fanin,119,1,0.6473129726083375,30.131992386458066,-0.07922022511825813,False,False,44
12806113,fanin,118,0,0.6445874321971216,29.876311280838692,-0.6069984913878699,False,False,41
332771446,fanin,116,0,0.6391014819458269,29.364949069599938,-0.6069984913878699,True,False,23
149569098,fanin,116,0,0.6391014819458269,29.364949069599938,-0.6069984913878699,False,False,39
155821494,fanin,112,1,0.6279858256227592,28.342224647122435,-0.07922022511825813,False,False,45
12780176,fanin,109,1,0.619518213534847,27.575181330264307,-0.07922022511825813,False,False,41
22837965,fanin,109,1,0.619518213534847,27.575181330264307,-0.07922022511825813,False,False,4
382997214,fanin,109,0,0.619518213534847,27.575181330264307,-0.6069984913878699,False,False,31
2758467,fanin,106,0,0.6109332505435583,26.80813801340618,-0.6069984913878699,False,False,1
30861039,fanin,105,0,0.6080446610728153,26.5524569077868,-0.6069984913878699,False,False,37
73330801,fanin,104,1,0.6051422833504461,26.296775802167424,-0.07922022511825813,False,False,42
269905671,fanin,102,0,0.5992953608843179,25.785413590928673,-0.6069984913878699,True,False,25
163879834,fanin,102,0,0.5992953608843179,25.785413590928673,-0.6069984913878699,False,False,29
91882349,fanin,100,1,0.5933908290969266,25.274051379689922,-0.07922022511825813,False,False,43
234899430,fanin,99,0,0.5904164202457234,25.018370274070545,-0.6069984913878699,False,False,11
12806606,fanin,99,1,0.5904164202457234,25.018370274070545,-0.07922022511825813,False,False,41
2881274,fanin,97,0,0.5844221896665526,24.507008062831794,-0.6069984913878699,False,False,1
3510576,fanin,97,0,0.5844221896665526,24.507008062831794,-0.6069984913878699,False,False,47
